,CROP,LATITUDE,LONGITUDE,YEAR,YIELD,GSL,CWD_fall,CWD_spring,CWD_summer,WW_fall,WW_spring,WW_summer,CDD_fall,CDD_spring,CDD_summer,CSDI_fall,CSDI_spring,CSDI_summer,WSDI_fall,WSDI_spring,WSDI_summer,CFD_fall,CFD_spring,CFD_summer,CSU_fall,CSU_spring,CSU_summer
27,barley,45.25,-62.25,1987,57.6,193.0,7.0,8.0,4.0,6.0,4.0,1.0,9.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,0.0,0.0,0.0,4.0
28,corn,45.25,-62.25,1987,84.0,193.0,7.0,8.0,4.0,6.0,4.0,1.0,9.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,0.0,0.0,0.0,4.0
29,oats,45.25,-62.25,1987,51.9,193.0,7.0,8.0,4.0,6.0,4.0,1.0,9.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,0.0,0.0,0.0,4.0
30,spring_wheat,45.25,-62.25,1987,53.3,193.0,7.0,8.0,4.0,6.0,4.0,1.0,9.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,0.0,0.0,0.0,4.0
31,winter_wheat,45.25,-62.25,1987,65.0,193.0,7.0,8.0,4.0,6.0,4.0,1.0,9.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,0.0,0.0,0.0,4.0
32,barley,46.25,-60.75,1987,57.6,191.0,6.0,7.0,4.0,6.0,6.0,4.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,7.0
33,corn,46.25,-60.75,1987,84.0,191.0,6.0,7.0,4.0,6.0,6.0,4.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,7.0
34,oats,46.25,-60.75,1987,51.9,191.0,6.0,7.0,4.0,6.0,6.0,4.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,7.0
35,spring_wheat,46.25,-60.75,1987,53.3,191.0,6.0,7.0,4.0,6.0,6.0,4.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,7.0
36,winter_wheat,46.25,-60.75,1987,65.0,191.0,6.0,7.0,4.0,6.0,6.0,4.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,7.0
37,barley,46.75,-67.25,1987,61.5,164.0,5.0,19.0,5.0,7.0,3.0,3.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,23.0,0.0,1.0,0.0,8.0
38,oats,46.75,-67.25,1987,56.0,164.0,5.0,19.0,5.0,7.0,3.0,3.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,23.0,0.0,1.0,0.0,8.0
39,spring_wheat,46.75,-67.25,1987,49.2,164.0,5.0,19.0,5.0,7.0,3.0,3.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,23.0,0.0,1.0,0.0,8.0
40,winter_wheat,46.75,-67.25,1987,46.7,164.0,5.0,19.0,5.0,7.0,3.0,3.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,23.0,0.0,1.0,0.0,8.0
41,barley,45.75,-66.25,1987,61.5,200.0,3.0,10.0,4.0,5.0,5.0,1.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
42,oats,45.75,-66.25,1987,56.0,200.0,3.0,10.0,4.0,5.0,5.0,1.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
43,spring_wheat,45.75,-66.25,1987,49.2,200.0,3.0,10.0,4.0,5.0,5.0,1.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
44,winter_wheat,45.75,-66.25,1987,46.7,200.0,3.0,10.0,4.0,5.0,5.0,1.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
45,barley,46.25,-64.75,1987,61.5,200.0,4.0,16.0,5.0,5.0,6.0,1.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,23.0,0.0,1.0,0.0,8.0
46,oats,46.25,-64.75,1987,56.0,200.0,4.0,16.0,5.0,5.0,6.0,1.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,23.0,0.0,1.0,0.0,8.0
47,spring_wheat,46.25,-64.75,1987,49.2,200.0,4.0,16.0,5.0,5.0,6.0,1.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,23.0,0.0,1.0,0.0,8.0
48,winter_wheat,46.25,-64.75,1987,46.7,200.0,4.0,16.0,5.0,5.0,6.0,1.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,23.0,0.0,1.0,0.0,8.0
49,barley,47.25,-66.25,1987,61.5,159.0,5.0,10.0,8.0,7.0,3.0,2.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,0.0,1.0,0.0,9.0
50,oats,47.25,-66.25,1987,56.0,159.0,5.0,10.0,8.0,7.0,3.0,2.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,0.0,1.0,0.0,9.0
51,spring_wheat,47.25,-66.25,1987,49.2,159.0,5.0,10.0,8.0,7.0,3.0,2.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,0.0,1.0,0.0,9.0
52,winter_wheat,47.25,-66.25,1987,46.7,159.0,5.0,10.0,8.0,7.0,3.0,2.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,0.0,1.0,0.0,9.0
53,corn,48.25,-66.75,1987,98.8,150.0,7.0,9.0,4.0,7.0,3.0,2.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,0.0,0.0,6.0
54,soybeans,48.25,-66.75,1987,33.0,150.0,7.0,9.0,4.0,7.0,3.0,2.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,0.0,0.0,6.0
55,spring_wheat,48.25,-66.75,1987,40.9,150.0,7.0,9.0,4.0,7.0,3.0,2.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,0.0,0.0,6.0
